day,hour,mean.ta,mean.rh,total.radiation.umol.m2.s,CO2.ppm,mean.wind.speed.m.s,swp.MPa,year,stn.no.
281,1,11.700000000000001,0.85,0,400,4.314285714285714,-0.2,2022,121
281,2,11.157142857142857,0.8657142857142857,0,400,3.7714285714285714,-0.2,2022,121
281,3,11.2,0.87,10.833333334199999,400,4.071428571428571,-0.2,2022,121
281,4,11.242857142857144,0.8628571428571429,198.6111111062,400,3.857142857142857,-0.2,2022,121
281,5,11.071428571428571,0.8685714285714287,561.5277777069999,400,4.571428571428571,-0.2,2022,121
281,6,10.742857142857144,0.8757142857142857,1112.222222241,400,4.571428571428571,-0.2,2022,121
281,7,10.2,0.8828571428571429,1865.138888821,400,4.614285714285714,-0.2,2022,121
281,8,11.4,0.85,2177.5000000195,400,4.514285714285714,-0.2,2022,121
281,9,12.6,0.8,2527.77777785,400,4.8428571428571425,-0.2,2022,121
281,10,13.714285714285715,0.7414285714285714,2459.16666671,400,5.3,-0.2,2022,121
281,11,14.771428571428572,0.68714285714285706,2697.499999935,400,4.842857142857143,-0.2,2022,121
281,12,15.142857142857142,0.6685714285714286,2332.77777785,400,5.728571428571429,-0.2,2022,121
281,13,15.314285714285715,0.6542857142857144,2036.6666665799999,400,6.014285714285714,-0.2,2022,121
281,14,15.685714285714285,0.6271428571428571,1319.86111114,400,4.914285714285715,-0.2,2022,121
281,15,15.685714285714285,0.6114285714285714,734.8611110815001,400,4.071428571428571,-0.2,2022,121
281,16,15.414285714285715,0.6028571428571429,283.47222220460003,400,4.1,-0.2,2022,121
281,17,14.571428571428571,0.61,88.4722222215,400,4.071428571428571,-0.2,2022,121
281,18,13.628571428571428,0.6742857142857143,48.74999999999999,400,3.2714285714285714,-0.2,2022,121
281,19,12.128571428571428,0.7271428571428571,7.222222221499999,400,3.1857142857142855,-0.2,2022,121
281,20,10.857142857142858,0.7514285714285713,0,400,2.814285714285714,-0.2,2022,121
281,21,10.757142857142856,0.76,0,400,2.557142857142857,-0.2,2022,121
281,22,10.342857142857143,0.78,0,400,2.1285714285714286,-0.2,2022,121
281,23,9.728571428571428,0.8114285714285714,0,400,2.257142857142857,-0.2,2022,121
282,0,9.242857142857144,0.8342857142857143,0,400,2.085714285714286,-0.2,2022,121
282,1,9.085714285714285,0.8371428571428571,0,400,1.6428571428571428,-0.2,2022,121
282,2,8.757142857142856,0.8457142857142856,0,400,1.6857142857142857,-0.2,2022,121
282,3,8.857142857142858,0.81,14.444444445599999,400,2.0142857142857142,-0.2,2022,121
282,4,8.871428571428572,0.812857142857143,234.72222220589998,400,2.2285714285714286,-0.2,2022,121
282,5,8.5,0.8242857142857143,705.9722222409999,400,2.1285714285714286,-0.2,2022,121
282,6,8.67142857142857,0.812857142857143,942.5000000169,400,2.5428571428571427,-0.2,2022,121
282,7,8.857142857142858,0.8257142857142857,1565.41666671,400,2.6285714285714286,-0.2,2022,121
282,8,10.971428571428572,0.7785714285714286,2139.583333355,400,2.942857142857143,-0.2,2022,121
282,9,12.7,0.7085714285714286,2453.7500000649998,400,3.5142857142857142,-0.2,2022,121
282,10,13.942857142857143,0.67,2892.4999999999995,400,4.4,-0.2,2022,121
282,11,14.957142857142857,0.6485714285714286,2702.91666671,400,5.142857142857142,-0.2,2022,121
282,12,15.557142857142857,0.63,2312.916666671,400,5.1,-0.2,2022,121
282,13,16.02857142857143,0.6057142857142856,2179.3055555634996,400,5.042857142857143,-0.2,2022,121
282,14,16,0.6042857142857143,1715.2777777654999,400,4.628571428571429,-0.2,2022,121
282,15,15.8,0.6171428571428571,913.61111109645,400,4.457142857142857,-0.2,2022,121
282,16,15.857142857142858,0.6271428571428571,460.4166666801,400,3.7714285714285714,-0.2,2022,121
282,17,15.3,0.6485714285714286,236.5277777915,400,3.4,-0.2,2022,121
282,18,14.128571428571428,0.6985714285714286,97.49999999999999,400,2.9,-0.2,2022,121
282,19,12.542857142857143,0.7542857142857143,7.222222221499999,400,2.4714285714285715,-0.2,2022,121
282,20,11.385714285714286,0.797142857142857,0,400,2.085714285714286,-0.2,2022,121
282,21,10.457142857142857,0.8257142857142857,0,400,1.7428571428571429,-0.2,2022,121
282,22,10.028571428571428,0.8285714285714286,0,400,1.8571428571428572,-0.2,2022,121
282,23,9.685714285714285,0.8342857142857143,0,400,1.7,-0.2,2022,121
283,0,9.77142857142857,0.8114285714285714,0,400,1.2857142857142856,-0.2,2022,121
283,1,10,0.7928571428571429,0,400,1.2571428571428571,-0.2,2022,121
283,2,9.6,0.81,0,400,1.4285714285714286,-0.2,2022,121
283,3,9.17142857142857,0.822857142857143,9.027777778499999,400,1.1714285714285715,-0.2,2022,121
283,4,9.3,0.8314285714285714,155.2777777759,400,1.342857142857143,-0.2,2022,121
283,5,9.114285714285714,0.842857142857143,640.9722222734999,400,1.3142857142857143,-0.2,2022,121
283,6,9.057142857142857,0.8414285714285714,1012.9166665969,400,1.5571428571428572,-0.2,2022,121
283,7,10.085714285714285,0.8271428571428571,1549.16666658,400,2.657142857142857,-0.2,2022,121
283,8,12.028571428571428,0.7757142857142857,2311.111111075,400,3.5142857142857142,-0.2,2022,121
283,9,13.014285714285714,0.7157142857142857,2536.805555635,400,3.8285714285714287,-0.2,2022,121
283,10,13.842857142857143,0.68714285714285706,2735.41666671,400,4.371428571428572,-0.2,2022,121
283,11,15.028571428571428,0.6428571428571429,2708.333333485,400,4.785714285714286,-0.2,2022,121
283,12,15.657142857142857,0.6214285714285714,2690.27777785,400,4.957142857142857,-0.2,2022,121
